Avg,Std,Max,Min,Energy 
26.563900,44.047300,89.691700,-5.877700,6 
49.376000,45.040000,89.691700,-5.849300,11 
79.849200,20.222800,90.524800,12.197900,20 
76.283600,22.288500,89.691700,13.102200,21 
82.103900,19.674500,91.876000,2.451800,13 
83.508800,12.679000,91.876000,48.624700,25 
74.755800,26.168300,91.876000,-5.796100,36 
81.197100,19.484100,91.876000,30.011000,40 
85.609900,16.333200,91.876000,22.384900,39 
81.428700,21.808900,91.876000,3.216200,45 
91.499400,0.928300,91.876000,88.494100,27 
90.052300,5.549200,91.876000,66.523500,47 
81.009700,22.821800,91.876000,22.384900,41 
91.712300,0.503600,91.876000,89.888000,50 
91.767500,0.472900,91.876000,89.706200,61 
85.890300,15.477400,91.876000,39.289600,34 
87.815300,17.330800,91.876000,12.279700,55 
87.057800,19.266900,91.876000,3.216200,38 
88.777100,11.433500,91.876000,39.113900,41 
82.659800,22.928800,91.876000,3.216200,37 
79.899700,21.831000,91.876000,29.482300,25 
75.999800,26.613200,91.876000,3.216200,28 
88.546100,13.152100,91.876000,31.384900,45 
75.882300,28.616700,91.876000,3.216200,36 
84.757400,19.837300,91.876000,21.142100,44 
83.806500,24.031900,91.876000,3.216200,44 
90.931900,3.558900,91.876000,75.536200,44 
83.946400,22.485300,91.876000,11.681000,37 
84.044200,20.203600,92.500100,21.216200,38 
85.617300,16.841300,92.512400,31.435700,53 
